年/月,2023/03,2023/03,2023/06,2023/06,2023/09,2023/09,2023/12,2023/12,,,,
季別,1,1,2,2,3,3,4,4,,,,
合併(Y/N),Y,Y,Y,Y,Y,Y,Y,Y,,,,
單季(Q)/單半年(H),累季,Q,累季,Q,累季,Q,累季,Q,,,,
月份,3,3,6,6,9,9,12,12,,,,
幣別,NTD,NTD,NTD,NTD,NTD,NTD,NTD,NTD,,,,
預期信用減損（損失）利益,-6164,-6164,-20314,-14150,-41161,-20847,-35745,5416,,,,
除列按攤銷後成本衡量金融資產淨損益,0,0,0,0,0,0,0,0,,,,
金融資產重分類淨損益,0,0,0,0,0,0,0,0,,,,
營業外收入及支出－其他,0,0,0,0,0,0,0,0,,,,
營業外收入及支出,"13,036,774","13,036,774","25,753,640","12,716,866","39,629,232","13,875,592","57,705,718","18,076,486",,,,
稅前淨利,"244,274,931","244,274,931","458,949,840","214,674,909","700,890,335","241,940,495","979,171,324","278,280,989",,,,
所得稅費用,"37,325,895","37,325,895","70,283,798","32,957,903","101,429,019","31,145,221","141,403,807","39,974,788",,,,
繼續營業單位損益,"206,949,036","206,949,036","388,666,042","181,717,006","599,461,316","210,795,274","837,767,517","238,306,201",,,,
停業單位損益,0,0,0,0,0,0,0,0,,,,
合併前非屬共同控制股權損益,0,0,0,0,0,0,0,0,,,,
其他損益調整項－非常項目及累計影響數,0,0,0,0,0,0,0,0,,,,
合併總損益,"206,949,036","206,949,036","388,666,042","181,717,006","599,461,316","210,795,274","837,767,517","238,306,201",,,,
    確定福利計畫之再衡量數－不重分類－OCI,0,0,0,0,0,0,"-623,356","-623,356",,,,
    不動產重估價之利益（損失）－不重分類－OCI,0,0,0,0,0,0,0,0,,,,
    指定按公允價值衡量金融負債信用風險變動影響－不重分－OCI,0,0,0,0,0,0,0,0,,,,
    待售待分業主非流資（處分群組）直接相關權益－不重分－OCI,0,0,0,0,0,0,0,0,,,,
    透過FVOCI衡量權益工具投資未實現評價損益－不重分類－OCI,"560,573","560,573","996,548","435,975","987,893","-8,655","1,954,563","966,670",,,,
    避險工具之損益－不重分類－OCI,38810,38810,39898,1088,39898,0,39898,0,,,,
    採權益法認列關聯企業及合資其他綜合損益份額－不重分－OCI,"-4,435","-4,435","-45,016","-40,581","62,956","107,972","42,554","-20,402",,,,
    其他綜合損益－其他－不重分類－OCI,0,0,0,0,0,0,0,0,,,,
    與其他綜合損益組成部分相關之所得稅－不重分類－OCI,24,24,25,1,25,0,"-124,646","-124,671",,,,
  不重分類至損益之項目－OCI,"594,924","594,924","991,405","396,481","1,090,722",99317,"1,538,305","447,583",,,,
    國外營運機構財務報表換算之兌換差額－可重分類－OCI,"-5,201,209","-5,201,209","956,803","6,158,012","28,594,668","27,637,865","-14,464,353","-43,059,021",,,,
    待售待分業主非流資（處分群組）直接相關權益－可重分－OCI,0,0,0,0,0,0,0,0,,,,
    透FVOCI衡量債務工具投資未實現評價損益－可重分類－OCI,"1,351,881","1,351,881","401,176","-950,705","-1,455,025","-1,856,201","4,123,201","5,578,226",,,,
    避險工具之損益－可重分類－OCI,"-17,963","-17,963","-36,259","-18,296","-55,327","-19,068","-74,735","-19,408",,,,
    採權益法認列關聯企業及合資其他綜合損益份額－可重分－OCI,"-23,406","-23,406","50,206","73,612","237,518","187,312","63,938","-173,580",,,,
    其他綜合損益－其他－可重分類－OCI,0,0,0,0,0,0,0,0,,,,
    與其他綜合損益組成部分相關之所得稅－可重分類－OCI,0,0,0,0,0,0,0,0,,,,
  後續可能重分類至損益之項目－OCI,"-3,890,697","-3,890,697","1,371,926","5,262,623","27,321,834","25,949,908","-10,351,949","-37,673,783",,,,
  合併前非屬共同控制股權綜合損益淨額－OCI,0,0,0,0,0,0,0,0,,,,
其他綜合損益－OCI,"-3,295,773","-3,295,773","2,363,331","5,659,104","28,412,556","26,049,225","-8,813,644","-37,226,200",,,,
本期綜合損益總額,"203,653,263","203,653,263","391,029,373","187,376,110","627,873,872","236,844,499","828,953,873","201,080,001",,,,
歸屬母公司淨利（損）,"206,986,561","206,986,561","388,785,582","181,799,021","599,785,521","210,999,939","838,497,664","238,712,143",,,,
歸屬非控制權益淨利（損）,"-37,525","-37,525","-119,540","-82,015","-324,205","-204,665","-730,147","-405,942",,,,
歸屬共同控制下前手權益淨利（損）,0,0,0,0,0,0,0,0,,,,
